cantera_index,sensitivity,cantera equation,cantera products,cantera reactants
57,-0.0009083961640610442,CH2(T)(18) + O2(4) <=> CO(15) + H(8) + OH(2),"{'CO(15)': 1.0, 'H(8)': 1.0, 'OH(2)': 1.0}","{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}"
366,-0.0008832584516424435,CH3(19) + OH(2) <=> CH3OH(26),{'CH3OH(26)': 1.0},"{'CH3(19)': 1.0, 'OH(2)': 1.0}"
60,0.0008655814573855971,CH2(T)(18) + O2(4) <=> CO2(16) + H2(10),"{'CO2(16)': 1.0, 'H2(10)': 1.0}","{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}"
1292,0.0008560084588102508,C#CC(5272) + OH(2) <=> C3H3(6822) + H2O(5),"{'C3H3(6822)': 1.0, 'H2O(5)': 1.0}","{'C#CC(5272)': 1.0, 'OH(2)': 1.0}"
370,0.0008486273878424566,CH2O(20) + H(8) <=> CH3O(27),{'CH3O(27)': 1.0},"{'CH2O(20)': 1.0, 'H(8)': 1.0}"
645,-0.0008447796467988876,CHF3(42) + M <=> CF2(43) + HF(38) + M,"{'CF2(43)': 1.0, 'HF(38)': 1.0}",{'CHF3(42)': 1.0}
885,0.0008010449184233369,CH2OH(33) + HBR(92) <=> BR(90) + CH3OH(26),"{'BR(90)': 1.0, 'CH3OH(26)': 1.0}","{'CH2OH(33)': 1.0, 'HBR(92)': 1.0}"
1026,-0.0007977483995383353,CF2O(49) + HF(38) <=> CF3(45) + OH(2),"{'CF3(45)': 1.0, 'OH(2)': 1.0}","{'CF2O(49)': 1.0, 'HF(38)': 1.0}"
47,0.0007775403910362284,CH(7) + O2(4) <=> CO2(16) + H(8),"{'CO2(16)': 1.0, 'H(8)': 1.0}","{'CH(7)': 1.0, 'O2(4)': 1.0}"
74,-0.0007633212742476393,CH2(S)(25) + H2O(5) <=> CH2(T)(18) + H2O(5),"{'CH2(T)(18)': 1.0, 'H2O(5)': 1.0}","{'CH2(S)(25)': 1.0, 'H2O(5)': 1.0}"
216,-0.0007592595205685151,C2H4(30) + H(8) <=> C2H3(29) + H2(10),"{'C2H3(29)': 1.0, 'H2(10)': 1.0}","{'C2H4(30)': 1.0, 'H(8)': 1.0}"
1291,0.0006983681302521503,C3H3(6822) + H2(10) <=> C#CC(5272) + H(8),"{'C#CC(5272)': 1.0, 'H(8)': 1.0}","{'C3H3(6822)': 1.0, 'H2(10)': 1.0}"
26,-0.0006906644150402384,H2O2(14) + OH(2) <=> H2O(5) + HO2(13),"{'H2O(5)': 1.0, 'HO2(13)': 1.0}","{'H2O2(14)': 1.0, 'OH(2)': 1.0}"
512,-0.0006833169916505839,CF3(45) + CH4(3) <=> CH3(19) + CHF3(42),"{'CH3(19)': 1.0, 'CHF3(42)': 1.0}","{'CF3(45)': 1.0, 'CH4(3)': 1.0}"
164,0.0006815954590135753,C2H2(23) + OH(2) <=> CH2CO(28) + H(8),"{'CH2CO(28)': 1.0, 'H(8)': 1.0}","{'C2H2(23)': 1.0, 'OH(2)': 1.0}"
52,-0.0006769164339702135,CH2(T)(18) + O(9) <=> CO(15) + 2 H(8),"{'CO(15)': 1.0, 'H(8)': 2.0}","{'CH2(T)(18)': 1.0, 'O(9)': 1.0}"
1158,-0.0006748694606065446,S(4420) <=> C2H2(23) + CHF2(82),"{'C2H2(23)': 1.0, 'CHF2(82)': 1.0}",{'S(4420)': 1.0}
128,-0.0006699858012611719,CH2(S)(25) + CH4(3) <=> 2 CH3(19),{'CH3(19)': 2.0},"{'CH2(S)(25)': 1.0, 'CH4(3)': 1.0}"
92,-0.0006671356777518088,CH3(19) + OH(2) <=> CH2(T)(18) + H2O(5),"{'CH2(T)(18)': 1.0, 'H2O(5)': 1.0}","{'CH3(19)': 1.0, 'OH(2)': 1.0}"
789,0.000663970871543746,CH2Br(969) + H(8) <=> CBr(425),{'CBr(425)': 1.0},"{'CH2Br(969)': 1.0, 'H(8)': 1.0}"
134,-0.000651914852673621,CH3OH(26) + OH(2) <=> CH2OH(33) + H2O(5),"{'CH2OH(33)': 1.0, 'H2O(5)': 1.0}","{'CH3OH(26)': 1.0, 'OH(2)': 1.0}"
104,-0.0006485283799975752,CH3(19) + HCO(17) <=> CH4(3) + CO(15),"{'CH4(3)': 1.0, 'CO(15)': 1.0}","{'CH3(19)': 1.0, 'HCO(17)': 1.0}"
615,0.0006450339674196878,H(8) + S(140) <=> 2-BTP(1) + H2(10),"{'2-BTP(1)': 1.0, 'H2(10)': 1.0}","{'H(8)': 1.0, 'S(140)': 1.0}"
73,0.000643468565357996,CH2(S)(25) + O2(4) <=> CH2(T)(18) + O2(4),"{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}","{'CH2(S)(25)': 1.0, 'O2(4)': 1.0}"
1231,0.0006359965733921043,BR(90) + CHF2(82) <=> CF2(43) + HBR(92),"{'CF2(43)': 1.0, 'HBR(92)': 1.0}","{'BR(90)': 1.0, 'CHF2(82)': 1.0}"
97,-0.0006202849347722768,CH3(19) + O2(4) <=> CH3O(27) + O(9),"{'CH3O(27)': 1.0, 'O(9)': 1.0}","{'CH3(19)': 1.0, 'O2(4)': 1.0}"
23,-0.000618045474974301,H(8) + H2O2(14) <=> H2(10) + HO2(13),"{'H2(10)': 1.0, 'HO2(13)': 1.0}","{'H(8)': 1.0, 'H2O2(14)': 1.0}"
1252,0.0006170673896514862,CHF2(82) + HCO(17) <=> CH2F2(41) + CO(15),"{'CH2F2(41)': 1.0, 'CO(15)': 1.0}","{'CHF2(82)': 1.0, 'HCO(17)': 1.0}"
360,-0.000615853494369655,CH2O(20) <=> CO(15) + H2(10),"{'CO(15)': 1.0, 'H2(10)': 1.0}",{'CH2O(20)': 1.0}
1340,0.0006046427960569756,CH2Br(969) + S(4420) <=> S(5929),{'S(5929)': 1.0},"{'CH2Br(969)': 1.0, 'S(4420)': 1.0}"
614,0.0006006076409598285,CH3(19) + S(140) <=> 2-BTP(1) + CH4(3),"{'2-BTP(1)': 1.0, 'CH4(3)': 1.0}","{'CH3(19)': 1.0, 'S(140)': 1.0}"
