k_s,sensitivity,cantera equation,cantera products,cantera reactants
882,0.002988621694895368,BR(90) + CH2CO(28) <=> CH2Br(969) + CO(15),"{'CH2Br(969)': 1.0, 'CO(15)': 1.0}","{'BR(90)': 1.0, 'CH2CO(28)': 1.0}"
95,-0.0028347855947278,CH3(19) + HO2(13) <=> CH4(3) + O2(4),"{'CH4(3)': 1.0, 'O2(4)': 1.0}","{'CH3(19)': 1.0, 'HO2(13)': 1.0}"
98,0.002799579679808452,CH3(19) + O2(4) <=> CH2O(20) + OH(2),"{'CH2O(20)': 1.0, 'OH(2)': 1.0}","{'CH3(19)': 1.0, 'O2(4)': 1.0}"
985,-0.0027593509203009308,CF3CCH(84) + CH3(19) <=> H(8) + S(2407),"{'H(8)': 1.0, 'S(2407)': 1.0}","{'CF3CCH(84)': 1.0, 'CH3(19)': 1.0}"
916,-0.0026955851579387635,H(8) + S(140) <=> HF(38) + S(1362),"{'HF(38)': 1.0, 'S(1362)': 1.0}","{'H(8)': 1.0, 'S(140)': 1.0}"
1038,0.0026913346249878727,CF2(43) + O2(4) <=> S(3152),{'S(3152)': 1.0},"{'CF2(43)': 1.0, 'O2(4)': 1.0}"
187,-0.002691266099819805,C2H3(29) + O2(4) <=> CH2O(20) + HCO(17),"{'CH2O(20)': 1.0, 'HCO(17)': 1.0}","{'C2H3(29)': 1.0, 'O2(4)': 1.0}"
632,-0.002649949795261313,CF3(45) + S(140) <=> 2-BTP(1) + CHF3(42),"{'2-BTP(1)': 1.0, 'CHF3(42)': 1.0}","{'CF3(45)': 1.0, 'S(140)': 1.0}"
982,-0.0025789873977617056,C2H4(30) + HBR(92) <=> BR(90) + C2H5(32),"{'BR(90)': 1.0, 'C2H5(32)': 1.0}","{'C2H4(30)': 1.0, 'HBR(92)': 1.0}"
216,0.00247729119079695,C2H4(30) + H(8) <=> C2H3(29) + H2(10),"{'C2H3(29)': 1.0, 'H2(10)': 1.0}","{'C2H4(30)': 1.0, 'H(8)': 1.0}"
587,-0.0023991137824151687,CBr(425) + H(8) <=> CH3(19) + HBR(92),"{'CH3(19)': 1.0, 'HBR(92)': 1.0}","{'CBr(425)': 1.0, 'H(8)': 1.0}"
115,-0.002320310155477436,CH2OH(33) + H(8) <=> CH2O(20) + H2(10),"{'CH2O(20)': 1.0, 'H2(10)': 1.0}","{'CH2OH(33)': 1.0, 'H(8)': 1.0}"
830,0.002317905214808971,CF3(45) + O2(4) <=> CF3O(48) + O(9),"{'CF3O(48)': 1.0, 'O(9)': 1.0}","{'CF3(45)': 1.0, 'O2(4)': 1.0}"
18,-0.001977407661137792,HO2(13) + OH(2) <=> H2O(5) + O2(4),"{'H2O(5)': 1.0, 'O2(4)': 1.0}","{'HO2(13)': 1.0, 'OH(2)': 1.0}"
59,-0.0019618929492636866,CH2(T)(18) + O2(4) <=> CH2O(20) + O(9),"{'CH2O(20)': 1.0, 'O(9)': 1.0}","{'CH2(T)(18)': 1.0, 'O2(4)': 1.0}"
97,0.0018976873689995253,CH3(19) + O2(4) <=> CH3O(27) + O(9),"{'CH3O(27)': 1.0, 'O(9)': 1.0}","{'CH3(19)': 1.0, 'O2(4)': 1.0}"
