k_s,sensitivity,cantera equation,cantera products,cantera reactants
1501,0.0020866320579744878,BRO + HBR <=> BR + BROH,"{'BR': 1.0, 'BROH': 1.0}","{'BRO': 1.0, 'HBR': 1.0}"
320,-0.002074985210895113,OH + pC3H4 <=> C3H3 + H2O,"{'C3H3': 1.0, 'H2O': 1.0}","{'OH': 1.0, 'pC3H4': 1.0}"
1557,-0.0020031523680085614,CF3CCH + HBR <=> BTP,{'BTP': 1.0},"{'CF3CCH': 1.0, 'HBR': 1.0}"
81,-0.0019762100538200152,CH2O + H <=> H2 + HCO,"{'H2': 1.0, 'HCO': 1.0}","{'CH2O': 1.0, 'H': 1.0}"
1530,-0.001842443514154191,BR + C2H5 <=> C2H5BR,{'C2H5BR': 1.0},"{'BR': 1.0, 'C2H5': 1.0}"
1498,0.001803242219860948,BROH + H <=> BRO + H2,"{'BRO': 1.0, 'H2': 1.0}","{'BROH': 1.0, 'H': 1.0}"
15,0.0018007747837679349,H + HO2 <=> 2 OH,{'OH': 2.0},"{'H': 1.0, 'HO2': 1.0}"
874,0.001742217380148172,CHF3 + OH <=> CF3 + H2O,"{'CF3': 1.0, 'H2O': 1.0}","{'CHF3': 1.0, 'OH': 1.0}"
961,-0.001707700328168426,CF2:O + H <=> CF:O + HF,"{'CF:O': 1.0, 'HF': 1.0}","{'CF2:O': 1.0, 'H': 1.0}"
943,0.0017045607384966065,CF + O2 <=> CF:O + O,"{'CF:O': 1.0, 'O': 1.0}","{'CF': 1.0, 'O2': 1.0}"
74,-0.0015648054474324063,CH2* + H2O (+M) <=> CH3OH (+M),{'CH3OH': 1.0},"{'CH2*': 1.0, 'H2O': 1.0}"
153,-0.001556631131529855,C2H2 (+M) <=> H2CC (+M),{'H2CC': 1.0},{'C2H2': 1.0}
1520,-0.001540424188128537,CH2BR + HBR <=> BR + CH3BR,"{'BR': 1.0, 'CH3BR': 1.0}","{'CH2BR': 1.0, 'HBR': 1.0}"
191,-0.0015070697242290613,C2H3 + OH <=> C2H2 + H2O,"{'C2H2': 1.0, 'H2O': 1.0}","{'C2H3': 1.0, 'OH': 1.0}"
51,-0.0014898775827785695,CH + CO2 <=> CO + HCO,"{'CO': 1.0, 'HCO': 1.0}","{'CH': 1.0, 'CO2': 1.0}"
1504,0.0014591308978084703,BROH (+M) <=> BR + OH (+M),"{'BR': 1.0, 'OH': 1.0}",{'BROH': 1.0}
163,-0.0014548791466779082,C2H2 + CH2 <=> C3H3 + H,"{'C3H3': 1.0, 'H': 1.0}","{'C2H2': 1.0, 'CH2': 1.0}"
1497,-0.0014507452277411031,BR2 + OH <=> BR + BROH,"{'BR': 1.0, 'BROH': 1.0}","{'BR2': 1.0, 'OH': 1.0}"
1458,-0.001403576131695743,BR2 + H <=> BR + HBR,"{'BR': 1.0, 'HBR': 1.0}","{'BR2': 1.0, 'H': 1.0}"
1289,-0.0013890887487086323,CF2:CH + H <=> C2HF + HF,"{'C2HF': 1.0, 'HF': 1.0}","{'CF2:CH': 1.0, 'H': 1.0}"
147,-0.0013497016361483645,HCCO + O <=> 2 CO + H,"{'CO': 2.0, 'H': 1.0}","{'HCCO': 1.0, 'O': 1.0}"
936,-0.0013214034806448543,CF2 + H <=> CF + HF,"{'CF': 1.0, 'HF': 1.0}","{'CF2': 1.0, 'H': 1.0}"
1531,-0.0012834407408633835,BR + C2H5 <=> C2H4 + HBR,"{'C2H4': 1.0, 'HBR': 1.0}","{'BR': 1.0, 'C2H5': 1.0}"
1462,-0.0012677740697559906,BR2 + CH3 <=> BR + CH3BR,"{'BR': 1.0, 'CH3BR': 1.0}","{'BR2': 1.0, 'CH3': 1.0}"
903,0.0012671353223271805,CHF2 + O2 => CF2:O + H + O,"{'CF2:O': 1.0, 'H': 1.0, 'O': 1.0}","{'CHF2': 1.0, 'O2': 1.0}"
251,-0.0012133233485597814,C2H4 + O <=> CH3 + HCO,"{'CH3': 1.0, 'HCO': 1.0}","{'C2H4': 1.0, 'O': 1.0}"
253,-0.001204216854458766,C2H4 + OH <=> C2H3 + H2O,"{'C2H3': 1.0, 'H2O': 1.0}","{'C2H4': 1.0, 'OH': 1.0}"
1559,-0.0011924442350275727,BTP + H <=> BR + CF3CHCH2,"{'BR': 1.0, 'CF3CHCH2': 1.0}","{'BTP': 1.0, 'H': 1.0}"
1503,0.001161440159877879,BROH + OH <=> BRO + H2O,"{'BRO': 1.0, 'H2O': 1.0}","{'BROH': 1.0, 'OH': 1.0}"
944,0.00114331260970338,CF + H2O <=> CHF:O + H,"{'CHF:O': 1.0, 'H': 1.0}","{'CF': 1.0, 'H2O': 1.0}"
194,0.0011383850657198874,C2H3 + O2 <=> CH2O + HCO,"{'CH2O': 1.0, 'HCO': 1.0}","{'C2H3': 1.0, 'O2': 1.0}"
1460,-0.001100940321350234,BR + H + M <=> HBR + M,{'HBR': 1.0},"{'BR': 1.0, 'H': 1.0}"
37,-0.0010890181718500886,HCO + OH <=> CO + H2O,"{'CO': 1.0, 'H2O': 1.0}","{'HCO': 1.0, 'OH': 1.0}"
249,-0.0010444547411899196,C2H4 + H <=> C2H3 + H2,"{'C2H3': 1.0, 'H2': 1.0}","{'C2H4': 1.0, 'H': 1.0}"
192,-0.0010161350722946133,C2H3 + O2 <=> C2H2 + HO2,"{'C2H2': 1.0, 'HO2': 1.0}","{'C2H3': 1.0, 'O2': 1.0}"
54,-0.0010001949463280275,CH2 + O <=> H + HCO,"{'H': 1.0, 'HCO': 1.0}","{'CH2': 1.0, 'O': 1.0}"
56,-0.0009870947182385418,CH2 + OH <=> CH + H2O,"{'CH': 1.0, 'H2O': 1.0}","{'CH2': 1.0, 'OH': 1.0}"
258,-0.0009655766427762062,C2H4 + CH2* <=> CH4 + H2CC,"{'CH4': 1.0, 'H2CC': 1.0}","{'C2H4': 1.0, 'CH2*': 1.0}"
1393,0.0009602321219254653,CH4 + F <=> CH3 + HF,"{'CH3': 1.0, 'HF': 1.0}","{'CH4': 1.0, 'F': 1.0}"
1563,-0.00095862524509685,BTP + H <=> C2H3BR + CF3,"{'C2H3BR': 1.0, 'CF3': 1.0}","{'BTP': 1.0, 'H': 1.0}"
156,0.0009354627065331744,C2H2 + O <=> CH2 + CO,"{'CH2': 1.0, 'CO': 1.0}","{'C2H2': 1.0, 'O': 1.0}"
1560,-0.0009284398754060599,BTP + H <=> CF3CHBRCH2,{'CF3CHBRCH2': 1.0},"{'BTP': 1.0, 'H': 1.0}"
933,-0.0009189919392542532,CHF + H2O <=> CH2O + HF,"{'CH2O': 1.0, 'HF': 1.0}","{'CHF': 1.0, 'H2O': 1.0}"
90,0.0008910057710993761,CH3 + OH <=> CH2 + H2O,"{'CH2': 1.0, 'H2O': 1.0}","{'CH3': 1.0, 'OH': 1.0}"
283,0.0008421102514072829,C3H3 + H <=> pC3H4,{'pC3H4': 1.0},"{'C3H3': 1.0, 'H': 1.0}"
99,-0.0008366809568564572,CH3 + HCO <=> CH4 + CO,"{'CH4': 1.0, 'CO': 1.0}","{'CH3': 1.0, 'HCO': 1.0}"
1494,-0.0008304671575654507,BRO + H <=> BR + OH,"{'BR': 1.0, 'OH': 1.0}","{'BRO': 1.0, 'H': 1.0}"
